
2025/01/04 (07:17:04) | ===> btop++ v.1.4.0
2025/01/04 (07:17:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/08 (05:07:58) | ===> btop++ v.1.4.0
2025/01/08 (05:07:58) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/21 (10:05:57) | ===> btop++ v.1.4.0
2025/01/21 (10:05:57) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/21 (10:06:20) | ===> btop++ v.1.4.0
2025/01/21 (10:06:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/21 (13:51:51) | ===> btop++ v.1.4.0
2025/01/21 (13:51:51) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/03 (03:13:58) | ===> btop++ v.1.4.0
2025/02/03 (03:13:58) | WARNING: Failed to set locale UTF-8 continuing anyway.
