2025-01-28 18:20:19,646 DEBUG    root            Loaded Command Group: ['gcloud', 'projects']
2025-01-28 18:20:19,652 DEBUG    root            Loaded Command Group: ['gcloud', 'projects', 'list']
2025-01-28 18:20:19,653 DEBUG    root            Running [gcloud.projects.list] with arguments: []
2025-01-28 18:20:19,653 INFO     root            client_filter="None" server_filter="None"
2025-01-28 18:20:19,679 DEBUG    root            Chosen display Format:
    table(
      projectId:sort=1,
      name,
      projectNumber
    )

2025-01-28 18:20:19,679 INFO     root            Display format: "
    table(
      projectId:sort=1,
      name,
      projectNumber
    )
"
2025-01-28 18:20:19,695 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): cloudresourcemanager.googleapis.com:443
2025-01-28 18:20:20,198 DEBUG    urllib3.connectionpool https://cloudresourcemanager.googleapis.com:443 "GET /v1/projects?alt=json&filter=lifecycleState%3AACTIVE&pageSize=500 HTTP/1.1" 200 None
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ PROJECT_ID
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___                  
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ NAME
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___                     
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ PROJECT_NUMBER
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ 

2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ iosappopendemo
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___              
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ iosappopendemo
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___           
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ 13376398272
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ 

2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ neo-app-dev-677c2
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___           
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ neo-app-dev
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___              
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ 782295328784
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ 

2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___ profound-portal-447401-m3
2025-01-28 18:20:20,228 INFO     ___FILE_ONLY___   
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ My First Project
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___         
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ 688731316782
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ 

2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ secondbraindeployement
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___      
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ secondbraindeployement
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___   
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ 891654854274
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ 

2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ try-apis-154517
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___             
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ try-apis
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___                 
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ 328700451561
2025-01-28 18:20:20,229 INFO     ___FILE_ONLY___ 

